Reporting Economy,Product/Sector,2017,2018,2019,2020,2021,2022
"Bahrain, Kingdom of",Integrated circuits and electronic components,1,0,2,3,3,5
"Bahrain, Kingdom of",Transport equipment,580,509,638,657,767,759
"Bahrain, Kingdom of",Automotive products,493,400,500,445,416,278
"Bahrain, Kingdom of",Textiles,157,204,187,134,202,202
"Bahrain, Kingdom of",Clothing,129,90,71,49,44,64
Bangladesh,Agricultural products,1152,1116,1196,1195,1596,1580
Bangladesh,Fuels and mining products,180,157,123,109,257,209
Bangladesh,Manufactures,34444,37893,37951,32230,42288,52772
Bangladesh,Iron and steel,7,10,7,23,77,14
Bangladesh,Chemicals,137,181,173,183,330,324
Bangladesh,Pharmaceuticals,75,93,87,111,147,126
Bangladesh,Machinery and transport equipment,186,233,270,256,453,386
Bangladesh,Office and telecom equipment,13,16,22,23,25,17
Bangladesh,Electronic data processing and office equipment,4,4,3,4,8,8
Bangladesh,Telecommunications equipment,7,11,15,13,15,7
Bangladesh,Integrated circuits and electronic components,2,2,5,6,2,2
Bangladesh,Transport equipment,96,120,169,161,329,248
Bangladesh,Automotive products,0,1,1,1,0,2
Bangladesh,Textiles,1677,1616,1578,1709,2135,2172
Bangladesh,Clothing,29213,32927,34026,27471,35812,45709
Barbados,Agricultural products,109,96,89,82,96,109
Barbados,Fuels and mining products,110,125,134,98,90,210
Barbados,Manufactures,261,226,217,161,161,174
Barbados,Iron and steel,1,0,0,0,0,1
Barbados,Chemicals,72,63,55,61,53,52
Barbados,Pharmaceuticals,35,30,27,24,25,25
Barbados,Machinery and transport equipment,30,20,20,23,18,24
Barbados,Office and telecom equipment,4,3,3,2,3,6
Barbados,Electronic data processing and office equipment,1,1,1,1,1,0
Barbados,Telecommunications equipment,2,2,2,0,1,2
Barbados,Integrated circuits and electronic components,0,0,1,1,1,3
Barbados,Transport equipment,9,4,7,9,5,7
Barbados,Automotive products,3,3,3,2,2,3
Barbados,Textiles,3,2,2,2,2,2
Barbados,Clothing,16,9,6,4,6,6
Belarus,Agricultural products,5534,6000,6414,6686,8060,0
Belarus,Fuels and mining products,7255,8846,7216,4047,7338,0
Belarus,Manufactures,15660,17691,17802,16813,15330,0
Belarus,Iron and steel,1028,1322,1223,1034,1610,0
Belarus,Chemicals,4345,5338,5225,4723,1580,0
Belarus,Pharmaceuticals,208,244,286,320,311,0
Belarus,Machinery and transport equipment,4985,5244,5438,5205,4772,0
Belarus,Office and telecom equipment,244,300,312,354,506,0
Belarus,Electronic data processing and office equipment,48,40,64,57,98,0
Belarus,Telecommunications equipment,94,151,169,202,304,0
Belarus,Integrated circuits and electronic components,103,108,78,95,105,0
Belarus,Transport equipment,2162,2426,2501,2179,1693,0
Belarus,Automotive products,1829,2190,1960,1657,978,0
Belarus,Textiles,678,731,724,689,738,0
Belarus,Clothing,440,498,498,402,511,0
Belgium,Agricultural products,48869,51221,50140,50396,58911,62576
Belgium,Fuels and mining products,47516,59751,52016,41143,74588,136642
Belgium,Manufactures,321316,351582,338714,324879,413024,436023
Belgium,Iron and steel,17183,19265,16592,13313,20736,24780
Belgium,Chemicals,121404,141215,135366,139090,194783,210137
Belgium,Pharmaceuticals,44741,50408,55639,63989,99352,105045
Belgium,Machinery and transport equipment,96257,102478,104277,96065,107031,108542
Belgium,Office and telecom equipment,8844,8784,9690,9937,10317,10824
Belgium,Electronic data processing and office equipment,3556,3569,3600,3341,3332,3336
Belgium,Telecommunications equipment,4230,4196,4153,4344,4389,4245
Belgium,Integrated circuits and electronic components,1058,1019,1938,2252,2596,3244
Belgium,Transport equipment,52954,55907,58254,51702,54651,56041
Belgium,Automotive products,47414,49254,52795,46777,49116,50494
Belgium,Textiles,5795,6062,5737,5605,6140,5804
Belgium,Clothing,9368,10061,9879,8905,9548,10464
Belize,Agricultural products,213,183,197,191,235,240
Belize,Fuels and mining products,22,27,23,7,14,24
Belize,Manufactures,43,30,24,13,15,22
Belize,Iron and steel,0,0,0,0,0,0
Belize,Chemicals,16,12,8,5,3,4
Belize,Pharmaceuticals,4,3,1,1,1,0
Belize,Machinery and transport equipment,7,6,4,3,4,5
Belize,Office and telecom equipment,0,0,1,0,1,0
Belize,Electronic data processing and office equipment,0,0,1,0,0,0
