Indicator,  Merchandise exports by product group – annual (Million US dollar),,,,,,,
,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,2017,2018,2019,2020,2021,2022
Angola,SI3_AGG - MATE - Textiles,World,2,1,1,1,1,1
Angola,SI3_AGG - MACL - Clothing,World,0,0,0,0,0,0
Anguilla,SI3_AGG - TO - Total merchandise,World,11,12,12,11,14,16
Antigua and Barbuda,SI3_AGG - TO - Total merchandise,World,21,26,38,22,19,22
Antigua and Barbuda,SI3_AGG - AG - Agricultural products,World,5,6,5,6,6,5
Antigua and Barbuda,SI3_AGG - AGFO - Food,World,5,6,5,6,6,5
Antigua and Barbuda,SI3_AGG - MI - Fuels and mining products,World,0,1,4,4,5,9
Antigua and Barbuda,SI3_AGG - MIFU - Fuels,World,0,1,4,4,5,8
Antigua and Barbuda,SI3_AGG - MA - Manufactures,World,15,10,8,6,8,9
Antigua and Barbuda,SI3_AGG - MAIS - Iron and steel,World,1,1,0,0,0,0
Antigua and Barbuda,SI3_AGG - MACH - Chemicals,World,1,0,0,0,1,1
Antigua and Barbuda,SI3_AGG - MACHPH - Pharmaceuticals,World,0,0,0,0,0,0
Antigua and Barbuda,SI3_AGG - MAMT - Machinery and transport equipment,World,4,2,2,2,4,4
Antigua and Barbuda,SI3_AGG - MAMTOF - Office and telecom equipment,World,1,0,0,0,1,0
Antigua and Barbuda,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,0,0,0,0,0,0
Antigua and Barbuda,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,0,0,0,0,1,0
Antigua and Barbuda,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,0,0
Antigua and Barbuda,SI3_AGG - MAMTTE - Transport equipment,World,7,1,1,1,2,2
Antigua and Barbuda,SI3_AGG - MAMTAU - Automotive products,World,1,1,1,1,1,1
Antigua and Barbuda,SI3_AGG - MATE - Textiles,World,1,0,0,0,0,0
Antigua and Barbuda,SI3_AGG - MACL - Clothing,World,1,2,1,1,1,1
Argentina,SI3_AGG - TO - Total merchandise,World,58644,61781,65116,54884,77935,88445
Argentina,SI3_AGG - AG - Agricultural products,World,35574,34341,38999,36093,42673,53816
Argentina,SI3_AGG - AGFO - Food,World,34928,33520,38265,35612,42091,52998
Argentina,SI3_AGG - MI - Fuels and mining products,World,3489,2829,2629,1590,2103,5711
Argentina,SI3_AGG - MIFU - Fuels,World,1626,2536,2343,1470,2060,5463
Argentina,SI3_AGG - MA - Manufactures,World,16148,11988,10788,7923,10563,13965
Argentina,SI3_AGG - MAIS - Iron and steel,World,634,48,54,37,8,67
Argentina,SI3_AGG - MACH - Chemicals,World,5501,4284,3549,3097,3952,5235
Argentina,SI3_AGG - MACHPH - Pharmaceuticals,World,889,722,721,708,811,896
Argentina,SI3_AGG - MAMT - Machinery and transport equipment,World,7698,5796,5302,3558,5410,7234
Argentina,SI3_AGG - MAMTOF - Office and telecom equipment,World,68,39,47,38,22,30
Argentina,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,16,16,13,7,6,6
Argentina,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,49,22,29,27,13,19
Argentina,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,3,2,5,4,3,5
Argentina,SI3_AGG - MAMTTE - Transport equipment,World,6709,5142,4630,3027,4996,6501
Argentina,SI3_AGG - MAMTAU - Automotive products,World,5950,4987,4451,2918,4892,6348
Argentina,SI3_AGG - MATE - Textiles,World,114,105,99,64,70,95
Argentina,SI3_AGG - MACL - Clothing,World,39,27,30,21,29,35
Armenia,SI3_AGG - TO - Total merchandise,World,2245,2412,2640,2544,3023,5360
Armenia,SI3_AGG - AG - Agricultural products,World,625,670,775,706,871,1235
Armenia,SI3_AGG - AGFO - Food,World,614,660,767,699,862,1216
Armenia,SI3_AGG - MI - Fuels and mining products,World,863,819,938,872,1154,1213
Armenia,SI3_AGG - MIFU - Fuels,World,72,81,69,68,51,92
Armenia,SI3_AGG - MA - Manufactures,World,505,710,673,506,806,2443
Armenia,SI3_AGG - MAIS - Iron and steel,World,85,127,143,88,200,265
Armenia,SI3_AGG - MACH - Chemicals,World,37,36,37,35,48,104
Armenia,SI3_AGG - MACHPH - Pharmaceuticals,World,22,21,23,16,20,29
Armenia,SI3_AGG - MAMT - Machinery and transport equipment,World,52,68,81,53,94,1013
Armenia,SI3_AGG - MAMTOF - Office and telecom equipment,World,7,9,11,12,17,512
Armenia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1,5,4,4,5,88
Armenia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,3,3,2,6,8,405
Armenia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,4,2,5,3,4,19
Armenia,SI3_AGG - MAMTTE - Transport equipment,World,14,27,30,15,40,321
Armenia,SI3_AGG - MAMTAU - Automotive products,World,13,22,23,13,35,307
Armenia,SI3_AGG - MATE - Textiles,World,3,14,3,4,4,22
Armenia,SI3_AGG - MACL - Clothing,World,127,217,169,123,183,195
Asia,SI3_AGG - TO - Total merchandise,World,6381627,6902451,6772859,6681469,8500687,9118606
Asia-Pacific Economic Cooperation (APEC),SI3_AGG - TO - Total merchandise,World,8809551,9586387,9406322,8963389,11364350,12485398
Association of Southeast Asian Nations (ASEAN),SI3_AGG - TO - Total merchandise,World,1316348,1445973,1423179,1385880,1724102,1959526
Australia,SI3_AGG - TO - Total merchandise,World,231131,257098,271005,250823,344864,412562
Australia,SI3_AGG - AG - Agricultural products,World,42118,41363,38692,33123,46716,55867
Australia,SI3_AGG - AGFO - Food,World,32381,30381,29782,28051,37975,45262
Australia,SI3_AGG - MI - Fuels and mining products,World,142277,167453,180921,153266,241301,298956
Australia,SI3_AGG - MIFU - Fuels,World,69890,91171,87694,52676,94765,175159
Australia,SI3_AGG - MA - Manufactures,World,27029,28799,29727,25903,28107,30213
Australia,SI3_AGG - MAIS - Iron and steel,World,704,767,833,624,597,858
Australia,SI3_AGG - MACH - Chemicals,World,6625,7851,8318,7650,7575,8727
Australia,SI3_AGG - MACHPH - Pharmaceuticals,World,2663,3538,4339,3818,2722,3005
Australia,SI3_AGG - MAMT - Machinery and transport equipment,World,11241,11492,11831,10130,11139,11499
Australia,SI3_AGG - MAMTOF - Office and telecom equipment,World,2666,2677,3031,2637,3029,2953
Australia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1082,1109,1107,1013,1216,1163
Australia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1403,1354,1718,1435,1574,1603
Australia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,181,215,206,189,239,188
